국가,수도,치안,물가,검색량,교통,총점
가나,아크라,4,72354.4,24450,6.4,407.90862666666663
가봉,리브르빌,5,15593.2,8080,3.9,502.2375466666667
가이아나공화국,가이아나,4,5471.3,3870,4.0,401.1517533333333
감비아,반줄,4,1901.9,3810,2.6,400.7677933333333
과테말라,과테말라시티,4,77604.6,19110,4.0,407.48463999999996
그레나다,세인트조지스,4,1089.2,2930,8.8,401.2456133333333
그리스,아테네,4,189410.1,60600,5.0,419.18734
기니,코나크리,4,15681.1,4960,5.1,402.05140666666665
기니비사우,비사우,4,1431.8,2000,-1.7,400.1254533333333
나미비아,빈트후크,4,10699.9,5510,1.5,401.4143266666666
나우루,야렌,2,118.2,2600,2.6,200.52787999999998
나이지리아,아부자,3,432293.8,19050,3.8,331.10458666666665
남수단,주바,3,12000,4780,-0.2,301.25800000000004
남아프리카공화국,프리토리아,2,301923.6,12990,5.7,221.99724
네덜란드,암스테르담,5,912242.3,76500,5.7,569.0361533333333
네팔,카트만두,5,33657.2,26370,5.5,505.43081333333333
노르웨이,오슬로,5,362009,45110,5.2,529.1649333333332
뉴질랜드,웰링턴,5,212482,61100,3.3,520.6054666666668
니우에,알로피아,2,212482,61100,2.6,220.53546666666668
니제르,니아메,3,13678.2,3810,1.8,301.47288
니카라과,마나과,4,12621.5,9080,4.1,402.15943333333337
대만(중국),대만,2,759104,108000,4.7,261.87693333333334
덴마크,코펜하겐,5,355184,51600,8.1,529.6489333333333
도미니카공화국,산토도밍고,4,78844.7,14630,2.1,406.9293133333333
도미니카연방,로조,4,469.9,710,10.6,401.1623266666667
독일,베를린,4,3806060.1,96500,4.4,663.82734
동티모르,딜리,5,1821,9990,7.6,501.8804
라오스,비엔티안,4,19136.2,57690,3.5,407.3947466666667
라이베리아,몬로비아,4,2950,6070,5.6,401.3636666666667
라트비아,리가,4,33505.2,16570,5.1,404.40067999999997
러시아,모스크바,1,1483497.8,360000,4.2,235.31985333333333
레바논,베이루트,3,33383.2,15680,5.6,304.35354666666666
레소토,마세루,2,1844.5,2190,3.1,200.65196666666665
루마니아,부쿠레슈티,4,248715.6,24180,2.1,419.20904
룩셈부르크,룩셈부르크,4,73264,32710,6.5,408.8052666666667
르완다,키갈리,4,10334,9470,2.3,401.8659333333334
리비아,트리폴리,1,25418.5,11510,-0.1,102.83556666666667
리투아니아,빌뉴스,4,55887.3,14670,4.2,405.61282
리히텐슈타인,파두츠,4,6839.1,12360,5.9,402.28193999999996
마다가스카르,안타나나리보,4,13720.6,26860,4.0,404.00070666666664
마셜제도,마주로,2,239.5,1620,4.2,200.59796666666665
마이크로네시아,미크로네시아,2,408.1,2940,3.4,200.6612066666667
마카오(중국),마카오,2,55153.7,23830,3.8,206.43991333333335
말라위,릴롱궤,2,11961.8,10900,5.8,202.46745333333334
말레이시아,쿠알라룸푸르,3,336664.4,96500,3.8,332.4742933333333
말리,바마코,3,17393.8,5730,2.5,301.98258666666663
멕시코,멕시코시티,4,1076163.3,65900,3.4,478.67421999999993
모나코,모나코,4,7423.7,28760,8.4,404.2109133333333
모로코,라바트,3,112870.6,50010,3.8,312.9057066666666
모리셔스,포트루이스,4,10914.1,23380,9.6,404.02560666666665
모리타니아,누악쇼트,3,7779,3070,1.9,301.0156
모잠비크,마푸투,3,14021.4,5560,2.2,301.71076
몬테네그로,포드고리차,4,4778.6,11830,9.1,402.41157333333337
몰도바,키시네프,4,11914,16800,4.6,402.93426666666664
몰디브,말레,4,4030.2,129200,6.0,413.78868000000006
몰타,발레타,4,14647.4,69860,8.7,408.83249333333333
몽골,울란바토르,4,13137.1,42470,3.0,405.4228066666667
미국,워싱턴 D.C.,4,20936600,162400,4.3,1812.4433333333334
미얀마,네피도,3,76185.6,42840,2.1,309.57304
바누아투,빌라,2,854.8,6610,5.8,201.29798666666667
바레인,마나마,4,38474.5,9930,2.0,403.7579666666667
바베이도스,브리지타운,4,4365.5,3700,5.2,401.18103333333335
바하마,나소,4,11250,11150,2.9,402.15500000000003
방글라데시,다카,3,324239.2,32160,3.0,325.1319466666667
베냉,포르토노보,3,15651.5,1500,2.8,301.4734333333333
베네수엘라,카라카스,3,48600,39240,1.9,307.354
베트남,하노이,4,271158.4,199900,2.8,438.34722666666664
벨기에,브뤼셀,4,515332.5,45100,7.3,439.5955
벨라루스,민스크,1,60258.2,28510,-0.1,106.85821333333332
벨리즈,벨모판,4,1763.7,4400,4.8,401.03758
보스니아헤르체고비나,사라예보,4,19790,4820,5.4,402.3413333333334
보츠와나,가보로네,2,15781.7,5100,2.6,201.8221133333333
볼리비아,라파스(행정),3,36688.9,37750,4.4,306.6609266666666
부룬디,기테가,3,3258.2,1960,6.0,301.0132133333334
부르키나파소,와가두구,3,17369.1,3200,5.4,302.01794
부탄,팀푸,4,2409.3,16220,7.0,402.48262
북마케도니아,스코페,4,12266.9,17080,6.2,403.14579333333336
불가리아,소피아,4,69105.1,20670,4.9,407.1640066666667
브라질,브라질리아,4,1444733.3,409700,3.5,537.6355533333334
브루나이,반다르스리브가완,5,12016.1,15090,1.4,502.4500733333333
사모아,아피아,2,807,5670,4.9,201.1108
사우디아라비아,리야드,3,700117.9,33470,0.9,350.11152666666663
사이프러스,니코시아,4,23800,7950,10.5,403.4316666666667
산마리노,산마리노,4,1616.4,6340,4.8,401.22176
상투메프린시페,상투메,5,472.9,1940,6.5,500.87552666666664
세네갈,다카르,4,24910.9,11570,4.5,403.26772666666665
